beta,alpha
0.47369057,0.526364
0.49762374,0.50217056
0.49367335,0.5066912
0.4794763,0.521869
0.47753173,0.52417016
0.46144965,0.5412163
0.4804548,0.52072287
0.4802669,0.5231112
0.47655708,0.52403885
0.4598562,0.54602355
0.49222678,0.5074078
0.49239838,0.507456
0.44735393,0.55825734
0.45162985,0.55541825
0.5023675,0.49816775
0.46750912,0.5330679
0.4563986,0.548627
0.47752392,0.52381605
0.47032553,0.53353703
0.47097504,0.5313845
0.45561457,0.5491135
0.5056124,0.4947324
0.47739425,0.5247972
0.44837642,0.5578751
0.47592488,0.52640903
0.4825775,0.5193411
0.45890996,0.5443052
0.49206445,0.50796825
0.48766476,0.51391673
0.47907376,0.5186107
0.44592494,0.5617214
0.45247644,0.5525035
0.45373732,0.5523881
0.43699047,0.57244
0.4749997,0.5264419
0.48220336,0.5177483
0.49241656,0.5127472
0.48265973,0.5189154
0.45064023,0.5545719
0.47691357,0.5240199
0.28441206,0.88017154
0.48417765,0.51515776
0.47279888,0.5291027
0.4916488,0.50863105
0.49057338,0.5092088
0.4825811,0.51869303
0.48879936,0.51407784
0.47216594,0.52920604
0.4711398,0.5432222
0.45502156,0.54983157
0.5013734,0.49774548
0.4939768,0.50591207
0.4959353,0.5042083
0.48535427,0.5168502
0.48855013,0.51276815
0.48198316,0.51840246
0.47442585,0.5274095
0.46497855,0.5383171
0.46872905,0.5333545
0.46181172,0.5418639
0.4574721,0.5463679
0.47620073,0.5254509
0.4855883,0.5158686
0.46206015,0.54142296
0.48289883,0.51667047
0.47500926,0.5269446
0.47944802,0.5224666
0.46038875,0.5436662
0.45395434,0.5502949
0.45031336,0.5552454
0.48978123,0.51207876
0.469544,0.53255045
0.4981818,0.5027034
0.45243764,0.5533273
0.48162466,0.5200671
0.4719689,0.52775246
0.49578547,0.50344926
0.47246587,0.5295434
0.3166392,0.7875855
0.47450122,0.52533454
0.4486226,0.5561111
0.4671432,0.5254795
0.4621442,0.5403336
0.462782,0.5404359
0.48860204,0.51153463
0.47654176,0.526717
0.44132912,0.56634223
0.47080532,0.5338229
0.4427935,0.5646529
0.45647058,0.54713976
0.46952188,0.533244
0.4970139,0.50222665
0.447829,0.5602172
0.4890973,0.51168746
0.47332564,0.5280088
0.478788,0.5184687
0.91122985,0.27560505
0.46311623,0.53878504
0.47943872,0.5223856
0.45711604,0.54783285
0.49512982,0.5052154
0.4922449,0.50736785
0.4866623,0.5134091
0.48279554,0.51885396
0.48786896,0.5123603
0.47687337,0.523818
0.5025579,0.4961818
0.4849035,0.51637167
0.48466796,0.51504064
0.47582865,0.5257159
0.4633328,0.54060864
0.46857116,0.5334622
0.445628,0.5595842
0.46996158,0.5320562
0.47572076,0.525539
0.4928165,0.5095616
0.4528057,0.55217856
0.45211732,0.5542618
0.4611915,0.54249233
0.48064688,0.5205746
0.44992942,0.5542212
0.62691545,0.52930033
0.4713227,0.5315898
0.48050892,0.52123404
0.43919045,0.56837857
0.4890588,0.51112443
0.46250504,0.5412155
0.46924374,0.5337276
0.47834548,0.523081
0.45493108,0.55023545
0.47100517,0.5279904
0.45732212,0.545354
0.48008126,0.5217285
0.464321,0.53871
0.46436492,0.5391842
0.47443664,0.5275113
0.48104876,0.5191099
0.48950157,0.5108343
0.48417148,0.51655114
0.47614935,0.5246705
0.498254,0.49988773
0.47684568,0.523772
0.4897201,0.50918096
0.4919959,0.5078721
0.4654499,0.5384435
0.4834151,0.51692456
0.49276415,0.5084392
0.4800952,0.521244
0.47968727,0.5230721
0.49556723,0.5053616
0.47031015,0.5307775
0.48306483,0.5180478
0.48863107,0.5118941
0.4885008,0.5130691
0.45750946,0.54690176
0.49403897,0.5062865
0.4873986,0.5134742
0.48802257,0.5127908
0.47686931,0.5251045
0.45740697,0.54758656
0.46706307,0.53550833
0.47333726,0.52917415
0.45026615,0.55599266
0.49022907,0.50881654
0.44610775,0.5622424
0.47609064,0.5255428
0.4790431,0.52260655
0.50170594,0.4970793
0.47343,0.527197
0.47642568,0.52438164
0.470747,0.5324482
0.44567817,0.56104296
0.47638535,0.5248705
0.4465719,0.56041956
0.45816505,0.5462016
0.49435034,0.51595545
0.48033315,0.51927304
0.49235997,0.5087923
0.45661718,0.5464366
0.4707111,0.5314351
0.44430044,0.56528395
0.48199493,0.5182634
0.4668043,0.5357468
0.48220375,0.5175597
0.48308635,0.5178354
0.47559205,0.52686
0.49235517,0.50705475
0.4760518,0.5245521
0.4783552,0.52312547
0.44645533,0.5596269
0.2652717,0.94089836
0.48556557,0.51547015
0.4808134,0.51960695
0.45417354,0.5514713
0.43999463,0.5679447
0.4594551,0.54431784
0.48202848,0.5221954
0.4408326,0.5663854
0.47825584,0.522003
0.46962905,0.5336092
0.47612676,0.52579415
0.48230937,0.5187347
0.4518405,0.5539602
0.44500574,0.56165487
0.49529588,0.5038649
0.48090097,0.51970834
0.47630423,0.52447826
0.4450903,0.5598045
0.4903885,0.5103971
0.4604356,0.5433591
0.4880066,0.5126483
0.48014227,0.52192104
0.47860807,0.5233449
0.47793427,0.5227407
0.4606521,0.5418292
0.4734611,0.5277057
0.45042753,0.55553466
0.48431668,0.5160958
0.48138866,0.51857823
0.48754805,0.5117864
0.55691504,0.44853273
0.46684906,0.534698
0.48156607,0.51948804
0.48585263,0.5157474
0.4487335,0.5562266
0.4872974,0.51342213
0.49789065,0.50294054
0.45707697,0.54669
0.46121368,0.54200107
0.47492918,0.52651054
0.4474655,0.55691415
0.49351838,0.5063229
0.45907563,0.5452332
0.4407396,0.56735057
0.48373258,0.5178714
0.47542492,0.52700365
0.48086253,0.5211722
0.4627771,0.54070276
0.4720497,0.5306451
0.4282695,0.581635
0.46299726,0.53937227
0.49313968,0.5066642
0.48829275,0.51232594
0.47264773,0.52911484
0.48447087,0.5154613
0.43434012,0.575467
0.4695998,0.5332061
0.44503164,0.5618373
