alpha,beta,example
0.5425018,0.46030694,0
0.63125515,0.3949749,0
0.36166123,0.6892686,0
0.46371847,0.537003,0
0.47188908,0.52791643,0
0.42317423,0.5892905,0
0.6791987,0.36373875,0
0.680777,0.3660484,0
0.68086576,0.36718586,0
0.67839307,0.3655247,0
0.6794264,0.36873728,0
0.7341849,0.3389519,0
0.734259,0.3419413,0
0.3955417,0.63238895,0
0.54590744,0.45639014,0
0.716501,0.34776294,0
0.8506148,0.29353607,0
0.8510826,0.29491723,0
0.85007703,0.29258916,0
0.85028374,0.2932051,0
0.7289625,0.34299415,0
0.73025453,0.34219635,0
0.72789675,0.34439504,0
0.72780585,0.34281793,0
0.47237745,0.5292357,0
0.3650779,0.6817344,0
0.36636338,0.68276227,0
0.28862104,0.86455655,0
0.30296123,0.8227402,0
0.51338565,0.48689863,0
0.39286745,0.63003105,0
0.2654644,0.94603425,0
0.26310405,0.9547376,0
0.26204705,0.95843816,0
0.26003754,0.95861775,0
0.25863978,0.9585551,0
0.25942767,0.958782,0
0.25596166,0.9694099,0
0.33215526,0.7555603,0
0.4911547,0.50868547,0
0.30340764,0.8208737,0
0.32759547,0.76244766,0
0.3258463,0.7666716,0
0.3570668,0.69344276,0
0.35943985,0.6946583,0
0.5318962,0.4693793,0
0.43892434,0.5694056,0
0.4101679,0.6056859,0
0.36421826,0.6879684,0
0.45194688,0.55156356,0
0.7707974,0.32340243,0
0.76313895,0.32693082,0
0.5039346,0.4946837,0
0.39597633,0.63162225,0
0.39407122,0.6285567,0
0.39388832,0.6298804,0
0.79697293,0.31381592,0
0.80004525,0.3118051,0
0.26329362,0.9490734,0
0.27218136,0.91442615,0
0.2649781,0.94229543,0
0.26390594,0.9421587,0
0.2879243,0.8619136,0
0.29072493,0.8616443,0
0.29610324,0.84491706,0
0.29470235,0.84431964,0
0.3338503,0.7503202,0
0.3347339,0.7480942,0
0.33490655,0.74813145,0
0.889971,0.28113884,0
0.8896653,0.27984306,0
0.8613492,0.28975976,0
0.8534382,0.2918075,0
0.8536631,0.29204696,0
0.85356605,0.29343465,0
0.3289269,0.7613536,0
0.26699787,0.9321333,0
0.2749991,0.91496813,0
0.27358744,0.91562337,0
0.27177238,0.9161202,0
0.2732453,0.91622,0
0.25551242,0.9726055,0
0.25434428,0.9744435,0
0.25781825,0.97459817,0
0.25737917,0.9745851,0
0.2554472,0.9746685,0
0.25525978,0.9746693,0
0.39683828,0.6280764,0
0.40540704,0.61427885,0
0.30125183,0.8300041,0
0.2910958,0.85911214,0
0.26948002,0.9231739,0
0.696955,0.3584772,0
0.59876543,0.41598234,0
0.55672324,0.44964626,0
0.73265594,0.34168485,0
0.7333848,0.33832398,0
0.73315024,0.3375354,0
0.73315024,0.3375354,0
0.73389727,0.33780077,0
0.44558787,0.558683,0
0.41081116,0.6089098,0
0.34703198,0.72342616,0
0.34734964,0.7239277,0
0.34259441,0.7252411,0
0.68299574,0.36665758,0
0.7508869,0.33396676,0
0.72504056,0.34193435,0
0.72514373,0.342148,0
0.72535944,0.34241325,0
0.725814,0.34268096,0
0.7268928,0.34501383,0
0.7253447,0.34102246,0
0.69055945,0.35820922,0
0.6912299,0.36086336,0
0.6543586,0.38137966,0
0.6533251,0.38211623,0
0.59576964,0.41994634,0
0.5937422,0.41812885,0
0.5601375,0.4431926,0
0.56038,0.4434136,0
0.6015389,0.41452459,0
0.6015389,0.41452459,0
0.6022015,0.41558072,0
0.44216123,0.56589794,0
0.59573495,0.41665563,0
0.59573495,0.41665563,0
0.5966904,0.4187218,0
0.49740353,0.50168294,0
0.4667521,0.5377538,0
0.4668866,0.53752995,0
0.46756485,0.5376177,0
0.4667884,0.5348677,0
0.46625054,0.5358564,0
0.6661232,0.37244874,0
0.66729325,0.37486026,0
0.4352285,0.5731323,0
0.4352285,0.5731323,0
0.59821093,0.41653392,0
0.5988602,0.41796628,0
0.32759896,0.7621321,0
0.32800728,0.76170695,0
0.2998892,0.8301519,0
0.30372828,0.8285972,0
0.30400828,0.82801676,0
0.30376205,0.8286168,0
0.33592027,0.7355376,0
0.3369792,0.73773897,0
0.35208705,0.7119255,0
0.49536675,0.50610095,0
0.48419294,0.51267904,0
0.38808414,0.64588773,0
0.3863963,0.6450985,0
0.38826257,0.64602065,0
0.575089,0.43449032,0
0.5743507,0.43285888,0
0.5115627,0.48754147,0
0.35675073,0.70119303,0
0.35311356,0.7013775,0
0.35612026,0.7050993,0
0.27354807,0.9105663,0
0.5746089,0.43572426,0
0.5715105,0.43469796,0
0.5718797,0.43441567,0
0.58752763,0.4275244,0
0.39778474,0.62339085,0
0.45006844,0.5563857,0
0.44981948,0.5567619,0
0.38636532,0.644315,0
0.5263744,0.4732587,0
0.4877549,0.5109952,0
0.36024097,0.69176114,0
0.3765934,0.6633792,0
0.38909268,0.64165944,0
0.3799283,0.6569932,0
0.3913405,0.6377288,0
0.5483428,0.45487455,0
0.54989636,0.45601404,0
0.7586732,0.32989037,0
0.7879116,0.31780684,0
0.5961127,0.4175382,0
0.59572166,0.41760668,0
0.60997325,0.40769348,0
0.62765247,0.3985809,0
0.6276305,0.39821222,0
0.4545922,0.5497189,0
0.49546975,0.50532395,0
0.3391476,0.73642194,0
0.3375355,0.73653114,0
0.33516482,0.74175847,0
0.3372965,0.74363667,0
0.33541852,0.743645,0
0.2926703,0.84942925,0
0.29461545,0.8501917,0
0.25591514,0.9792905,0
0.27025306,0.91861165,0
0.2685474,0.9249053,0
0.28191528,0.8818331,0
0.50476056,0.49554995,0
0.46823585,0.53154796,0
0.8890575,0.27993768,0
0.5412188,0.46065882,0
0.4684377,0.53371304,0
0.48152596,0.517155,0
0.4823761,0.51871216,0
0.48225152,0.518546,0
0.4791294,0.5163575,0
0.47854388,0.5150827,0
0.47985542,0.51562536,0
0.47985542,0.51562536,0
0.4860771,0.5181209,0
0.48576197,0.51736414,0
0.56987363,0.435576,0
0.5699645,0.43628216,0
0.56801414,0.4365947,0
0.5713575,0.4387316,0
0.5713691,0.43858176,0
0.51457983,0.4872873,0
0.51383024,0.48821285,0
0.48661003,0.50951856,0
0.48726308,0.5098418,0
0.600906,0.41327953,0
0.6774379,0.36915883,0
0.7124727,0.35090157,0
0.711668,0.34555042,0
0.7116561,0.3452761,0
0.7110328,0.3467786,0
0.7131187,0.34892362,0
0.7088933,0.35334718,0
0.7092164,0.35281307,0
0.7094014,0.35203576,0
0.67504513,0.36927664,0
0.6658135,0.37496033,0
0.6642333,0.3728007,0
0.6646346,0.37866732,0
0.66464823,0.37790444,0
0.29053673,0.8643734,0
0.28400886,0.872966,0
0.2881356,0.8716366,0
0.28737256,0.87070006,0
0.28408724,0.8767894,0
0.58711296,0.42627788,0
0.58520174,0.42546606,0
0.63026613,0.39813164,0
0.6400783,0.3904552,0
0.5639298,0.4435421,0
0.4921735,0.5065194,0
0.37036896,0.6742607,0
0.4922907,0.50712323,0
0.49404037,0.5089694,0
0.49121362,0.5072435,0
0.48923105,0.5085191,0
0.36562017,0.6807971,0
0.36755127,0.68310636,0
0.38041434,0.65192455,0
0.3822817,0.6531545,0
0.5104956,0.48879197,0
0.51007295,0.48824263,0
0.5114442,0.48896596,0
0.36848035,0.6812878,0
0.37061223,0.6808338,0
0.37100694,0.68162006,0
0.36224872,0.6802085,0
0.36197764,0.68038684,0
0.36197764,0.68038684,0
0.36418122,0.6826015,0
0.36448258,0.68295234,0
0.38464186,0.64775753,0
